carat,x,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_E,color_F,color_G,color_H,color_I,color_J,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
0.33,4.39,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0.31,4.33,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0.5,5.13,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
0.52,5.17,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
0.38,4.63,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
1.7,7.63,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
0.3,4.31,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0.24,3.99,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
0.54,5.31,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1.5,7.51,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0.4,4.74,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
0.61,5.29,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
1.0,6.28,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
0.72,5.82,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
1.02,6.09,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.41,4.8,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
0.3,4.34,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0.28,4.25,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
0.31,4.37,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0.53,5.22,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0.33,4.46,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.52,5.08,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
1.5,7.19,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
1.0,6.51,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
1.91,7.9,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
1.51,7.39,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
0.32,4.35,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
1.0,6.36,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0.42,4.86,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1.21,6.73,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
0.59,5.45,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
0.75,6.09,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2.01,7.99,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
0.77,5.85,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0.61,5.42,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1.35,7.07,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1.01,6.42,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.3,4.42,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1.0,6.47,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0.5,4.87,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
0.42,4.8,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
0.77,5.83,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
2.3,8.53,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
0.53,5.24,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
1.22,6.82,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0.37,4.67,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
1.82,7.83,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
0.74,5.79,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
0.64,5.47,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
0.32,4.42,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
0.3,4.38,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
0.67,5.68,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0.43,4.82,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1.01,6.32,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
1.54,7.41,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
1.01,6.38,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
1.2,6.72,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0.3,4.28,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1.56,7.45,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
0.32,4.42,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
0.53,5.22,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.73,5.74,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
0.4,4.75,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
0.56,5.37,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0.32,4.37,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
0.41,4.83,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
0.38,4.68,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
1.53,7.47,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
1.02,6.51,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2.41,8.87,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
0.7,5.79,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
1.05,6.48,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
0.24,4.03,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
0.7,5.83,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0.93,6.2,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2.05,8.24,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
0.32,4.42,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
0.51,5.12,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
1.11,6.69,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0.9,6.09,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
0.7,5.74,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
1.19,6.84,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
0.3,4.28,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
0.3,4.31,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.54,5.22,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
0.5,4.95,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1.12,6.67,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.01,7.87,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.3,4.28,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1.5,7.3,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
0.71,5.78,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
0.55,5.23,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0.52,5.1,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
1.2,6.85,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.73,5.73,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
0.43,4.84,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
1.1,6.6,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
0.76,5.82,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
0.71,5.65,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
1.03,6.64,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1.02,6.53,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
0.35,4.56,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0.34,4.44,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
0.7,5.55,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0.5,5.14,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0.74,5.76,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
1.11,6.73,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0.31,4.39,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False
0.4,4.72,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
0.51,5.11,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2.01,8.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
1.51,7.34,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
0.91,6.24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.5,5.15,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.37,4.6,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
1.01,6.52,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
0.75,5.83,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
0.53,5.36,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.89,6.22,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.9,6.14,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0.48,5.04,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0.9,6.21,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
0.9,6.32,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0.56,5.23,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0.52,5.15,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0.74,5.78,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.81,5.94,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0.71,5.71,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
1.2,6.95,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
0.3,4.34,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
1.19,6.9,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
0.34,4.55,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
1.22,6.89,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.45,4.86,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
1.01,6.45,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
1.38,7.06,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
0.92,6.25,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0.91,6.19,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
1.25,6.94,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False
0.41,4.8,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
0.41,4.81,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2.11,8.29,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
0.5,5.19,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
0.3,4.34,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.33,4.44,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1.32,7.01,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
1.57,7.39,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
0.23,3.9,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1.09,6.63,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
0.91,6.15,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
1.25,7.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0.29,4.33,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1.01,6.45,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0.56,5.36,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0.61,5.39,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0.71,5.64,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0.35,4.52,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.34,4.52,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2.01,8.2,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
1.58,7.61,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False
1.02,6.58,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.3,4.32,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
0.71,5.68,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
1.01,6.28,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
1.02,6.51,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0.4,4.69,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
0.32,4.4,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
0.74,5.85,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.72,5.74,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
0.75,5.82,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
1.51,7.52,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
0.53,5.26,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
1.25,7.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
0.51,5.11,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False
0.32,4.38,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0.55,5.25,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
1.02,6.45,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
1.2,6.88,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
1.0,6.59,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
0.3,4.25,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
0.55,5.35,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0.32,4.39,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1.26,7.04,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1.22,6.85,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
0.88,6.04,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
0.52,5.21,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.52,5.18,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0.9,6.23,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
0.32,4.44,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0.51,5.05,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0.84,6.06,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
1.56,7.39,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
0.24,3.93,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0.35,4.54,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
0.36,4.62,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.4,4.79,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1.52,7.32,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
0.25,4.03,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
1.04,6.49,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
0.73,5.89,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
1.11,6.56,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
0.4,4.71,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
0.26,4.12,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2.1,7.82,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
0.36,4.55,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0.57,5.31,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
0.79,5.96,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
0.34,4.48,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
0.9,6.23,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
0.9,6.23,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
0.32,4.4,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.31,4.34,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.35,4.58,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0.72,5.76,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
0.73,5.91,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
0.3,4.3,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
0.75,5.72,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
1.01,6.27,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
1.01,6.3,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
0.55,5.33,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True
0.3,4.25,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
1.99,8.08,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0.5,5.1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.37,4.64,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0.32,4.45,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
0.72,5.78,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
1.09,6.74,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
0.9,6.28,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False
0.3,4.3,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
1.15,6.75,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
0.32,4.42,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0.5,5.04,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
0.4,4.74,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
0.5,5.08,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0.83,6.06,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
1.2,6.94,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.4,4.77,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
0.33,4.44,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0.54,5.42,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1.01,6.59,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
1.01,6.15,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
0.31,4.32,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
0.4,4.71,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
0.39,4.73,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0.31,4.38,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
0.31,4.36,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
0.33,4.46,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
0.3,4.25,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
0.52,5.19,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.41,4.8,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
0.7,5.74,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1.09,6.62,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1.01,6.42,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0.3,4.34,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0.5,5.15,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1.13,6.78,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0.59,5.44,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1.3,6.9,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
0.45,4.95,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
0.73,5.8,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
0.41,4.76,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.31,4.33,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
1.52,7.32,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
0.32,4.4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1.26,7.05,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
1.01,6.3,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0.9,6.11,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
0.76,6.03,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.5,5.06,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0.7,5.73,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
1.21,6.86,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1.0,6.39,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
0.32,4.43,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2.01,7.8,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
1.01,6.3,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
0.35,4.53,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
1.62,7.63,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
0.34,4.55,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1.2,6.8,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
0.28,4.21,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0.41,4.83,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0.58,5.41,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
0.53,5.33,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.47,4.98,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
0.5,5.12,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.44,4.97,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.71,5.68,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.3,4.31,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0.48,5.14,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0.78,5.84,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
0.34,4.52,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1.1,6.66,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0.73,5.79,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1.01,6.34,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
0.91,6.08,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
0.32,4.44,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
